observation,test_name,Excitation_direction,Speed,Pin_des,Pout_des,Pin,Pout,Temp,Flow,Swirl,delta_P,viscosity,gamma,zeta,Cin,Cout,D,L,Cd,Kxx_2,Kxx_5 ,Kxx_7,Kxx_9,Kxx_11,Kxx_13,k_xy_2,k_xy_5,k_xy_7,k_xy_9,k_xy_11,k_xy_13,Cxx_2,Cxx_5,Cxx_7,Cxx_9,Cxx_11,Cxx_13,c_xy_2,c_xy_5,c_xy_7,c_xy_9,c_xy_11,c_xy_13
252,HC6_TP275_14000_75_H R,H,14000,75,50,74.119557,51.393549,14.482262,1.836111,-0.104628,22.726,1.90E-05,1.541,0.995,0.507,0.339,219.775,65,1.18,-0.213423774,-0.215966517,,-0.29756695,-0.293999015,-0.34523544,0.004712,-0.000182,,0.163572,0.162351,0.223981,-0.000304,-0.000093,,-0.000116,-0.000072,-0.000026,0.00028,0.000258,,0.000076,-0.000076,-0.000084
253,HC6_TP276_14000_85_V R,V,14000,85,75,86.294422,76.636733,20.303438,1.226565,0.08889,9.658,1.94E-05,1.554,1.002,0.514,0.341,219.775,65,1.18,5.278135987,4.204563046,,1.625406519,-0.091747222,-2.73985798,4.325068,4.198146,,3.221691,2.432106,1.513355,0.019279,0.018187,,0.01716,0.016602,0.016818,-0.000387,0.002041,,0.003898,0.004798,0.005661
254,HC6_TP277_14000_85_H R,H,14000,85,75,86.869695,76.707675,21.050797,1.241611,0.0095031,10.162,1.94E-05,1.554,1.003,0.514,0.34,219.775,65,1.18,5.904823464,4.940902008,,2.129740226,-0.088806838,-3.3700236,4.445205,3.958914,,3.707773,3.971735,4.955338,0.018611,0.018798,,0.01765,0.017257,0.017544,0.000473,0.002205,,0.001384,0.000934,0.000907
255,HC7_TP278_10000_65_V ,V,10000,65,15,64.349143,16.380657,23.70511,2.357225,0.241877783,47.968,1.91E-05,1.513,0.998,0.404,0.342,170,98.7,2.82,15.7262654,19.53128316,22.76914275,26.12202646,30.09184832,,8.374662,6.557801,5.53615,4.719193,4.161721,,0.033712,0.030882,0.027889,0.025474,0.02314,,-0.015094,-0.009394,-0.007154,-0.005422,-0.00421,
256,HC7_TP279_10000_65_H ,H,10000,65,15,64.290277,16.220046,22.261906,2.352373,0.217354821,48.07,1.90E-05,1.514,0.997,0.404,0.342,170,98.7,2.82,16.15124853,20.08509396,23.39862267,26.86096431,30.83960977,,9.617224,7.383366,6.213619,5.336563,4.6671,,0.032489,0.030314,0.02722,0.024914,0.02325,,-0.01143,-0.00738,-0.005649,-0.004508,-0.003946,
257,HC7_TP280_10000_85_V ,V,10000,85,75,84.374027,74.71813,26.273867,1.681123,0.138939237,9.656,1.95E-05,1.543,1.005,0.434,0.343,170,98.7,2.82,5.356593819,6.518219791,7.450215146,8.364965706,9.275284596,,6.217649,4.649818,3.846513,2.8165,1.770834,,0.034509,0.032245,0.03107,0.030094,0.02966,,-0.00923,-0.005892,-0.003759,-0.002242,-0.000612,
259,HC7_TP282_10000_65_V ,V,10000,65,50,64.557159,50.682743,27.115367,1.669643,0.289744351,13.874,1.92E-05,1.51,0.999,0.431,0.343,170,98.7,2.82,5.944307339,7.217123277,8.574912488,10.29446709,12.5357354,,6.33811,5.173581,4.27649,3.524883,3.101995,,0.029433,0.029511,0.029158,0.028531,0.028162,,-0.009513,-0.005616,-0.004088,-0.00265,-0.001387,
260,HC7_TP283_10000_65_H ,H,10000,65,50,62.641027,50.355824,29.111703,1.68725,0.488626578,12.285,1.92E-05,1.505,1,0.432,0.343,170,98.7,2.82,6.507082967,8.016475226,9.410240728,11.06034704,13.29204009,,6.824545,5.479287,4.515862,3.936239,3.836702,,0.0295,0.029523,0.028929,0.028643,0.028844,,-0.006398,-0.003933,-0.0028,-0.001823,-0.001286,
261,HC7_TP285_10000_35_H ,H,10000,35,25,33.952467,25.207648,31.365361,0.959793,0.383315445,8.745,1.88E-05,1.456,0.997,0.435,0.343,170,98.7,2.82,3.730049084,4.720610962,5.592680622,6.590766559,7.947307844,,3.9078,3.202859,2.708388,2.457914,2.367173,,0.015994,0.015694,0.015239,0.014955,0.014778,,-0.003683,-0.00236,-0.00164,-0.00119,-0.000894,
262,HC7_TP286_10000_130_V ,V,10000,130,100,129.08563,100.468554,29.116583,3.30284,0.204930205,28.617,2.07E-05,1.601,1.03,0.42,0.342,170,98.7,2.82,11.58471818,14.62563134,17.47232437,21.10884284,25.8197823,,12.7467,10.374216,8.631306,7.404225,6.843255,,0.060023,0.05889,0.056993,0.055413,0.05449,,-0.019546,-0.011456,-0.00751,-0.004686,-0.002409,
