observation,test_name,Excitation_direction,Speed,Pin_des,Pout_des,Pin,Pout,Temp,Flow,Swirl,delta_P,viscosity,gamma,zeta,Cin,Cout,D,L,Cd,Kxx_2,Kxx_5 ,Kxx_7,Kxx_9,Kxx_11,Kxx_13,k_xy_2,k_xy_5,k_xy_7,k_xy_9,k_xy_11,k_xy_13,Cxx_2,Cxx_5,Cxx_7,Cxx_9,Cxx_11,Cxx_13,c_xy_2,c_xy_5,c_xy_7,c_xy_9,c_xy_11,c_xy_13
1,HC1_TP1_10000_100_V ,V,10000,100,50,70.606,51.075,17.778,2.126,0.928,19.531,1.90E-05,1.53,0.996,0.428,0.361,219.775,65,2.75,8.029300227,8.3158379,8.702395836,8.783245916,8.509437909,,11.373597,11.16451,11.471219,12.044708,14.025948,,0.023245,0.022421,0.022371,0.023323,0.02526,,-0.00396,-0.000711,0.000528,0.001381,0.002254,
2,HC1_TP2_10000_100_H ,H,10000,100,50,70.549,51.053,20.636,2.134,0.943,19.495,1.91E-05,1.527,0.998,0.428,0.361,219.775,65,2.75,7.788042753,7.963103435,8.210771249,8.459527503,9.448648153,,10.635779,10.83198,11.175504,12.156206,14.136252,,0.020386,0.021042,0.021534,0.023263,0.025264,,-0.004546,0.000213,0.000939,0.001296,0.001633,
3,HC1_TP3_10000_200_V ,V,10000,200,100,137.42,102.09,24.007,3.94,0.872,35.33,2.10E-05,1.621,1.032,0.419,0.36,219.775,65,2.75,14.74193377,15.12742838,15.70006187,16.22027323,16.86370718,,20.182838,20.075881,20.451177,22.188962,25.54941,,0.04115,0.040727,0.041526,0.043523,0.046253,,-0.006244,-0.000256,0.000649,0.001973,0.003148,
4,HC1_TP4_10000_200_H ,H,10000,200,100,140.383,101.329,23.685,4.054,0.935,39.054,2.11E-05,1.625,1.034,0.417,0.36,219.775,65,2.75,15.64717506,16.02174018,16.32052655,17.00274941,18.96726302,,21.402725,20.667319,21.202003,22.583438,25.172056,,0.038472,0.040762,0.041936,0.044326,0.046971,,-0.008746,0.000271,0.00283,0.00351,0.004291,
5,HC1_TP5_10000_300_V ,V,10000,300,150,210.779,150.732,23.273,5.886,0.962,60.047,2.38E-05,1.697,1.094,0.404,0.358,219.775,65,2.75,14.8333865,15.36965454,16.14496706,16.91481967,17.96855507,,20.182838,20.075881,20.451177,22.188962,25.54941,,0.04115,0.040727,0.041526,0.043523,0.046253,,-0.006244,-0.000256,0.000649,0.001973,0.003148,
6,HC1_TP6_10000_300_H ,H,10000,300,150,210.346,150.172,24.022,5.871,0.972,60.174,2.38E-05,1.695,1.094,0.404,0.358,219.775,65,2.75,15.69575112,16.20126041,16.65633498,17.57932615,19.86064016,,21.402725,20.667319,21.202003,22.583438,25.172056,,0.038472,0.040762,0.041936,0.044326,0.046971,,-0.008746,0.000271,0.00283,0.00351,0.004291,
7,HC1_TP7_12000_50_V ,V,12000,50,25,35.887,26.172,20.93,1.076,0.865,9.716,1.84E-05,1.465,0.994,0.433,0.362,219.775,65,2.75,4.097707285,4.156663283,,4.560311849,4.709216273,5.06427841,5.535898,5.498262,,6.251311,7.078223,8.686917,0.013587,0.010882,,0.011746,0.012422,0.013731,-0.000743,-0.000067,,0.000519,0.000701,0.000805
8,HC1_TP8_12000_50_H ,H,12000,50,25,35.71,25.902,24.184,1.068,0.874,9.808,1.85E-05,1.463,0.995,0.433,0.362,219.775,65,2.75,3.903274898,4.059422167,,4.348292311,4.798181273,5.31890451,5.033755,5.389116,,6.222951,7.302706,9.203081,0.009652,0.010765,,0.011906,0.012623,0.013994,-0.0045,-0.000046,,0.000432,0.000645,0.000434
9,HC1_TP9_12000_100_V ,V,12000,100,50,71.646,51.56,21.431,2.085,0.791,20.087,1.91E-05,1.528,0.998,0.427,0.361,219.775,65,2.75,8.552892309,8.983962087,,9.748714983,10.05528947,10.36859305,11.402854,11.20124,,12.400585,14.013788,16.971447,0.025534,0.02265,,0.024171,0.025406,0.02816,-0.002985,-0.000654,,0.001024,0.001506,0.001977
10,HC1_TP10_12000_100_H ,H,12000,100,50,71.425,51.366,18.338,2.111,0.788,20.059,1.90E-05,1.531,0.997,0.427,0.361,219.775,65,2.75,8.483098162,8.708627775,,9.419038237,10.20494934,11.61911991,10.477526,10.738651,,12.069839,13.935519,17.301984,0.020531,0.02216,,0.024233,0.025639,0.027987,-0.008331,-0.000319,,0.000883,0.001388,0.000682
11,HC1_TP11_12000_200_V ,V,12000,200,100,142.296,101.81,22.225,4.055,0.759,40.486,2.12E-05,1.631,1.035,0.416,0.36,219.775,65,2.75,16.86340025,17.97724621,,20.43107062,20.98465392,23.2873809,21.773845,21.459264,,23.336527,25.930775,31.365331,0.047085,0.04454,,0.046702,0.048613,0.052743,-0.006952,-0.002851,,0.000258,0.00162,0.001874
12,HC1_TP12_12000_200_H ,H,12000,200,100,142.208,101.216,22.896,4.039,0.77,40.991,2.12E-05,1.629,1.035,0.415,0.359,219.775,65,2.75,16.40672207,17.02594924,,19.01433384,21.45369623,24.89509511,20.883928,20.708308,,22.192309,24.896354,29.996709,0.040878,0.042096,,0.046288,0.048444,0.05205,-0.013607,-0.000169,,0.0026,0.003127,0.002815
13,HC1_TP13_10000_50_V ,V,10000,50,25,36.528,26.383,19.958,1.176,-1.051,10.144,1.84E-05,1.467,0.993,0.433,0.362,219.775,65,2.75,2.080102084,2.242805601,2.153504246,2.003068151,2.035863311,,-5.05843,-5.492594,-5.480741,-6.054881,-7.627993,,0.011815,0.011292,0.011701,0.012073,0.013326,,-0.000207,0.000052,-0.000514,-0.000764,-0.001208,
14,HC1_TP14_10000_50_H ,H,10000,50,25,35.074,26.096,21.861,1.029,-1.035,8.978,1.84E-05,1.463,0.994,0.434,0.362,219.775,65,2.75,2.091208387,2.179720647,2.261798021,2.298610112,2.753202547,,-4.627462,-5.106427,-5.587344,-6.229964,-7.698957,,0.011576,0.010996,0.011294,0.01209,0.012982,,0.000827,-0.000157,-0.000391,-0.000629,-0.000699,
15,HC1_TP15_10000_100_V ,V,10000,100,50,70.341,51.441,19.762,2.115,-0.995,18.9,1.90E-05,1.528,0.997,0.428,0.361,219.775,65,2.75,3.88834626,4.32019904,3.8036064,3.99190738,3.57818206,,-9.751696,-9.820154,-10.640032,-12.043699,-14.700027,,0.023922,0.022268,0.02332,0.024661,0.026646,,-0.000345,-0.000869,-0.000981,-0.001585,-0.00173,
16,HC1_TP16_10000_100_H ,H,10000,100,50,69.973,51.077,19.163,2.14,-0.997,18.896,1.90E-05,1.528,0.997,0.428,0.361,219.775,65,2.75,4.060342329,4.427584955,4.522525057,4.927773079,5.647856529,,-9.92873,-10.603334,-11.497547,-12.382487,-14.985649,,0.022266,0.022933,0.023924,0.025164,0.026725,,0.002401,-0.000044,-0.000339,-0.000353,-0.000383,
17,HC1_TP17_10000_200_V ,V,10000,200,100,137.85,100.604,21.872,4.059,-1.986,37.246,2.10E-05,1.626,1.031,0.418,0.36,219.775,65,2.75,7.439774649,8.10326134,7.917254318,8.028427413,8.57860254,,-18.074117,-18.657201,-20.119699,-22.634122,-27.270007,,0.04295,0.042677,0.044379,0.046875,0.0507,,0.001099,-0.000047,-0.000208,-0.000875,-0.00118,
18,HC1_TP18_10000_200_H ,H,10000,200,100,138.879,101.775,21.58,4.014,-0.978,37.104,2.10E-05,1.628,1.032,0.418,0.36,219.775,65,2.75,7.690104883,8.633042827,9.373203406,10.00025843,12.37682436,,-19.911361,-20.317723,-21.842116,-23.015376,-26.485795,,0.047216,0.04443,0.045604,0.047289,0.049956,,0.004778,0.00012,-0.00055,-0.000393,-0.000118,
19,HC1_TP19_10000_50_V ,V,10000,50,25,35.448,26.134,15.999,1.053,0.964,9.314,1.82E-05,1.467,0.992,0.434,0.362,219.775,65,2.75,3.727913263,3.930469425,4.19164825,4.195359913,4.079685388,,5.432487,5.378241,5.376499,6.154201,7.111016,,0.010167,0.010899,0.010295,0.0114,0.012476,,-0.001123,-0.000279,0.000203,0.000687,0.001084,
20,HC1_TP20_10000_50_H ,H,10000,50,25,35.887,26.2,12.699,1.078,0.965,9.687,1.81E-05,1.47,0.991,0.433,0.362,219.775,65,2.75,4.145328426,4.05390301,4.314833641,4.590004101,4.882358706,,5.346342,5.30607,5.554973,6.061029,7.061579,,0.011005,0.010724,0.011177,0.011906,0.012801,,-0.002644,0.000068,0.000172,0.000559,0.000878,
21,HC1_TP21_10000_100_V R,V,10000,100,50,71.592,51.334,21.667,2.118,0.998,20.258,1.91E-05,1.528,0.998,0.427,0.361,219.775,65,2.75,7.760925889,8.499085164,9.212606404,11.62377899,13.43467409,,11.412879,11.450923,11.722448,13.004287,14.979388,,0.021012,0.024446,0.02433,0.026725,0.02717,,-0.000125,-0.000822,0.000331,0.000652,0.000352,
22,HC1_TP22_10000_100_H R,H,10000,100,50,71.274,50.933,21.392,2.119,0.991,20.34,1.91E-05,1.527,0.998,0.427,0.361,219.775,65,2.75,8.008326026,7.930358791,7.926009091,7.732216176,8.563865866,,11.152462,10.754031,12.304846,14.326829,17.985482,,0.021415,0.021623,0.022885,0.024684,0.026163,,-0.001271,-0.000256,0.000018,0.000964,0.000113,
23,HC1_TP23_10000_200_V R,V,10000,200,100,141.634,101.252,18.782,4.078,0.95,40.382,2.12E-05,1.637,1.032,0.416,0.36,219.775,65,2.75,16.14670069,16.81833073,17.85670856,18.24497783,19.82597386,,21.476943,21.41982,22.233421,23.728625,27.659031,,0.040333,0.042382,0.043694,0.04495,0.048114,,-0.008487,-0.002102,-0.000303,0.001062,0.00189,
24,HC1_TP24_10000_200_H R,H,10000,200,100,141.503,101.34,18.186,4.12,0.944,40.163,2.11E-05,1.638,1.031,0.416,0.36,219.775,65,2.75,16.30325629,16.68406995,17.20084342,17.72459657,20.40164213,,22.1857,20.649145,21.261602,22.434617,24.82165,,0.039481,0.040992,0.041865,0.044657,0.046869,,-0.006876,0.000154,0.003112,0.003961,0.004529,
25,HC1_TP25_10000_300_V R,V,10000,300,150,211.57,150.255,30.447,5.936,1.039,61.315,2.38E-05,1.68,1.099,0.404,0.358,219.775,65,2.75,23.97936022,24.81714527,24.62237865,26.08306139,27.24603015,,30.800659,30.892903,32.852253,34.615828,39.272144,,0.054517,0.057089,0.059297,0.060797,0.063907,,-0.009842,-0.001916,0.001292,0.001628,0.003381,
26,HC1_TP26_10000_300_H R,H,10000,300,150,211.711,150.289,29.637,5.919,1.04,61.422,2.38E-05,1.682,1.098,0.404,0.358,219.775,65,2.75,22.80205958,23.91507823,25.05174774,25.69814448,28.94123082,,32.592777,31.316302,32.620036,33.890208,37.123643,,0.048488,0.05489,0.056816,0.058675,0.062099,,-0.008892,0.001303,0.002607,0.004232,0.004734,
27,HC1_TP27_10000_100_V R,V,10000,100,50,70.79,50.983,25.361,2.156,-1.07,19.807,1.92E-05,1.522,1,0.428,0.361,219.775,65,2.75,2.010001852,2.360281473,2.814319766,3.585067335,4.801223319,,-4.749066,-4.603277,-5.017142,-6.1308,-7.812099,,0.010576,0.011711,0.012843,0.013213,0.014677,,-0.002438,-0.001118,-0.000639,-0.000671,-0.001,
28,HC1_TP28_10000_100_H R,H,10000,100,50,71.137,51.279,23.103,2.142,-1.065,19.859,1.92E-05,1.525,0.999,0.428,0.361,219.775,65,2.75,2.190200189,2.197629613,2.11059657,2.183892639,2.301917309,,-5.251359,-5.342003,-6.277597,-6.880679,-9.316068,,0.012649,0.011383,0.011859,0.012554,0.014155,,-0.003819,0.00008,-0.001073,-0.001346,-0.000691,
29,HC1_TP29_10000_50_V R,V,10000,50,25,35.866,26.194,23.121,1.088,-1.114,9.672,1.85E-05,1.464,0.994,0.433,0.362,219.775,65,2.75,3.332163715,4.668931433,4.81127553,5.697614589,7.6162512,,-9.600546,-9.82835,-10.868501,-12.202829,-15.239572,,0.020884,0.025211,0.024362,0.026455,0.02817,,-0.002911,-0.000121,-0.000644,-0.001407,-0.000359,
30,HC1_TP30_10000_50_H R,H,10000,50,25,35.844,26.056,23.589,1.08,-1.122,9.788,1.85E-05,1.463,0.994,0.433,0.362,219.775,65,2.75,4.47067157,4.077949932,3.96316046,3.957373545,4.36496313,,-10.134229,-10.461425,-11.923788,-14.576427,-17.777739,,0.024437,0.023149,0.024531,0.026564,0.028271,,-0.00396,0.001024,0.000321,-0.000756,0.000402,
31,HC1_TP31_10000_50_V ,V,10000,50,7,28.128,7.743,27.425,1.185,1.314,20.386,1.86E-05,1.448,0.996,0.427,0.361,219.775,65,2.75,10.28105749,11.19725828,12.1184677,13.42516265,15.43325959,,8.610245,8.461964,8.332501,8.629497,9.40361,,0.007096,0.008629,0.008579,0.008597,0.009006,,-0.005674,-0.003977,-0.003566,-0.003449,-0.00346,
32,HC1_TP32_10000_50_H ,H,10000,50,7,28.03,7.712,26.047,1.185,1.309,20.319,1.85E-05,1.449,0.996,0.427,0.361,219.775,65,2.75,10.78363458,11.43057337,12.49789037,13.65902843,16.04269714,,8.404962,8.045827,8.091401,8.569858,9.08126,,0.00554,0.00792,0.007937,0.008412,0.008811,,-0.006071,-0.004788,-0.004297,-0.004263,-0.005115,
33,HC1_TP33_10000_50_V ,V,10000,50,10,28.823,10.61,24.836,1.18,1.314,18.213,1.85E-05,1.45,0.995,0.429,0.361,219.775,65,2.75,9.497331197,10.28533801,11.04004561,12.21936044,14.06756719,,7.811553,7.781816,8.005287,8.193114,8.930999,,0.009089,0.009009,0.009448,0.009056,0.009585,,-0.004463,-0.002892,-0.002624,-0.00258,-0.002612,
34,HC1_TP34_10000_50_H ,H,10000,50,10,28.73,10.672,23.739,1.177,1.291,18.058,1.84E-05,1.451,0.995,0.429,0.361,219.775,65,2.75,9.65603108,10.10867882,10.94121799,12.00939161,14.05446552,,7.54444,7.459946,7.756696,8.325818,9.08426,,0.005948,0.00819,0.008202,0.009074,0.009696,,-0.004573,-0.002913,-0.002963,-0.002971,-0.003717,
35,HC1_TP35_10000_100_V ,V,10000,100,15,57.375,15.329,21,2.333,1.268,42.045,1.88E-05,1.504,0.995,0.415,0.359,219.775,65,2.75,20.84523732,22.43186082,24.21946486,26.58810933,30.41480049,,16.639573,16.088702,16.068107,16.622254,17.845135,,0.016,0.018259,0.018506,0.018854,0.019221,,-0.009632,-0.006894,-0.005753,-0.005927,-0.005934,
36,HC1_TP36_10000_100_H ,H,10000,100,15,57.367,15.346,18.741,2.333,1.263,42.021,1.87E-05,1.506,0.994,0.415,0.359,219.775,65,2.75,21.69145198,23.54574433,25.36027271,27.48881353,31.64025546,,16.997819,15.897636,15.417226,16.032471,17.222593,,0.012496,0.016945,0.016366,0.016959,0.017823,,-0.014784,-0.010207,-0.008347,-0.007559,-0.008062,
37,HC1_TP37_10000_100_V ,V,10000,100,20,58.529,21.234,18.574,2.328,1.236,37.295,1.88E-05,1.508,0.994,0.418,0.36,219.775,65,2.75,18.33535078,19.95523374,21.62436835,23.80920461,26.94793985,,15.024507,14.962314,15.298231,16.210885,17.817005,,0.017465,0.018923,0.019202,0.019435,0.020585,,-0.007577,-0.004623,-0.004462,-0.004156,-0.004214,
38,HC1_TP38_10000_100_H ,H,10000,100,20,58.478,21.148,20.114,2.324,1.242,37.33,1.88E-05,1.506,0.995,0.418,0.36,219.775,65,2.75,19.16931472,20.38473695,22.14908504,23.90841664,27.7266728,,15.482701,14.92926,15.062219,15.803571,17.253931,,0.013345,0.017374,0.017347,0.018306,0.019285,,-0.010087,-0.00705,-0.005679,-0.005202,-0.005937,
39,HC1_TP39_10000_100_V ,V,10000,100,30,61.469,29.679,22.507,2.292,1.208,31.791,1.90E-05,1.509,0.996,0.421,0.36,219.775,65,2.75,13.57490359,16.27702487,18.07149462,20.9740927,25.83102033,,13.18166,13.753874,14.45164,15.694365,18.159414,,0.015199,0.02181,0.021737,0.023154,0.023593,,-0.003145,-0.003073,-0.003086,-0.003433,-0.003625,
40,HC1_TP40_10000_100_H ,H,10000,100,30,61.654,29.709,21.3,2.29,1.212,31.944,1.89E-05,1.511,0.996,0.421,0.36,219.775,65,2.75,14.74969203,15.41401705,16.24685531,17.758516,19.52539439,,13.229531,13.141306,14.187157,16.589446,18.46783,,0.016037,0.020367,0.020006,0.021044,0.02273,,0.002485,-0.004856,-0.00358,-0.004225,-0.004761,
41,HC1_TP41_10000_100_V ,V,10000,100,75,85.571,76.201,24,1.639,0.677,9.371,1.95E-05,1.547,1.004,0.434,0.362,219.775,65,2.75,4.375538098,3.075133557,1.703351206,-0.633100067,-3.339057655,,5.509706,6.244979,6.658372,7.31432,8.455411,,0.014617,0.015277,0.015699,0.016576,0.018074,,0.00615,0.00646,0.005971,0.006264,0.006874,
42,HC1_TP42_10000_100_H ,H,10000,100,75,85.52,76.135,24.041,1.656,0.682,9.385,1.95E-05,1.547,1.004,0.434,0.362,219.775,65,2.75,4.432316765,2.991002478,1.986144329,-0.231244361,-2.952079636,,5.591137,5.74554,6.386854,7.594352,9.383093,,0.014544,0.015293,0.016205,0.017089,0.018485,,0.002705,0.005166,0.005759,0.006154,0.006691,
43,HC2_TP45_10000_100_V ,V,10000,100,50,59.977529,50.892855,-4.429483,2.343775,1.01483,9.085,1.80E-05,1.538,0.982,0.535,0.442,219.775,65,2.75,5.763710294,5.230448805,4.567431132,3.855016339,2.776338928,,8.922675,8.930552,9.129804,10.305807,12.969096,,0.015013,0.017136,0.018282,0.019856,0.022393,,-0.002211,-0.000625,0.00046,0.001476,0.00216,
44,HC2_TP46_10000_100_H ,H,10000,100,50,59.954341,51.393092,-3.488549,2.293801,1.001512,8.561,1.80E-05,1.537,0.982,0.535,0.442,219.775,65,2.75,5.932224873,5.482587617,5.179384859,4.940806098,4.610199833,,8.553199,8.255221,8.447188,9.095742,10.913238,,0.014312,0.017089,0.018061,0.01908,0.020611,,-0.002865,-0.001584,-0.000735,0.000368,0.001329,
45,HC2_TP47_10000_200_V ,V,10000,200,100,121.016,100.047997,-1.727301,4.476267,0.937581,20.968,2.03E-05,1.657,1.001,0.528,0.441,219.775,65,2.75,12.34802661,11.07710043,9.420829054,8.178436884,7.205941734,,18.018745,18.289604,18.450627,20.222076,24.773642,,0.029286,0.032816,0.035071,0.038214,0.042623,,-0.004964,-0.001391,-0.000444,0.00143,0.00221,
46,HC2_TP48_10000_200_H ,H,10000,200,100,120.663825,100.579921,-0.344452,4.586497,0.940229,20.084,2.03E-05,1.653,1.003,0.528,0.441,219.775,65,2.75,12.94487998,12.47343318,11.65255607,11.07422958,10.58807714,,18.618493,18.026316,17.627532,18.269104,20.656127,,0.026225,0.033904,0.035486,0.03747,0.039395,,-0.005779,-0.004151,-0.002292,-0.000473,0.001834,
47,HC2_TP49_10000_300_V ,V,10000,300,150,180.112864,151.065147,1.995654,6.531569,0.938253,29.048,2.29E-05,1.729,1.049,0.523,0.441,219.775,65,2.75,21.58462155,19.52799063,16.23509791,13.58879785,11.86975995,,27.410509,26.998079,27.158821,28.774487,32.961751,,0.036317,0.043303,0.047251,0.054412,0.058455,,-0.009979,-0.003377,-0.00262,0.00102,0.001991,
48,HC2_TP50_10000_300_H ,H,10000,300,150,180.466883,151.194932,1.793035,6.51055,0.942137,29.272,2.29E-05,1.73,1.049,0.523,0.441,219.775,65,2.75,21.44083449,19.57297758,17.81613202,16.22820426,15.38677853,,25.520515,25.114569,25.911658,25.265309,27.487105,,0.037427,0.043957,0.0476,0.050701,0.054159,,-0.011319,-0.004984,-0.004441,-0.00239,0.000503,
49,HC2_TP53_12000_100_V ,V,12000,100,50,61.413387,50.986174,0.162841,2.32079,0.787825,10.427,1.82E-05,1.535,0.985,0.534,0.442,219.775,65,2.75,5.564897131,5.567640524,,4.76558562,4.445718929,4.260331747,8.596795,8.854218,,9.953202,12.234423,16.084062,0.015105,0.018207,,0.020709,0.022253,0.025182,-0.004113,-0.000806,,0.001454,0.001592,0.001499
50,HC2_TP54_12000_100_H ,H,12000,100,50,61.678656,51.343961,0.034336,2.313303,0.781924,10.335,1.82E-05,1.536,0.985,0.534,0.442,219.775,65,2.75,5.628323024,6.124644828,,6.400158954,6.34678883,6.58243765,8.838462,8.60085,,8.792749,10.693212,14.575923,0.015294,0.018756,,0.020188,0.020977,0.023577,-0.003932,-0.002731,,-0.000573,0.000613,0.00112
51,HC2_TP55_12000_200_V ,V,12000,200,100,121.966848,100.295972,-1.413391,4.484799,0.77543,21.671,2.03E-05,1.658,1.003,0.528,0.441,219.775,65,2.75,11.99723542,11.09890632,,9.910555579,9.432580369,7.798202714,15.623887,16.654769,,18.443029,22.610677,28.516758,0.03205,0.035807,,0.041561,0.043835,0.047683,-0.0071,-0.001542,,0.001175,0.001466,0.000844
52,HC2_TP56_12000_200_H ,H,12000,200,100,122.976947,101.273261,-0.434429,4.445767,0.775012,21.704,2.04E-05,1.657,1.004,0.528,0.441,219.775,65,2.75,12.0047958,13.21355133,,12.79844237,12.1446553,11.03231002,17.35858,16.34326,,15.188048,17.027421,22.070249,0.029077,0.037324,,0.038685,0.039967,0.042844,-0.007651,-0.007061,,-0.001101,0.001757,0.002606
53,HC2_TP59_10000_100_V ,V,10000,100,50,61.636144,50.830378,-4.818132,2.337071,-0.850467,10.806,1.80E-05,1.543,0.982,0.534,0.442,219.775,65,2.75,7.423468334,7.502160507,7.140843788,6.864000025,6.73871474,,-10.759255,-11.220721,-11.71959,-13.128941,-16.200011,,0.017835,0.018617,0.019309,0.02086,0.023271,,0.002106,-0.000977,-0.001475,-0.001924,-0.002269,
54,HC2_TP60_10000_100_H ,H,10000,100,50,61.433285,50.489903,-6.652526,2.338161,-0.846018,10.943,1.79E-05,1.545,0.981,0.534,0.442,219.775,65,2.75,7.344124779,7.357245747,7.098635774,7.210854329,7.590224059,,-10.056148,-10.06326,-10.536757,-11.320659,-13.334498,,0.01438,0.018071,0.018664,0.019919,0.021205,,0.001234,-0.00025,-0.001137,-0.001284,-0.001882,
55,HC2_TP65_10000_100_V R,V,10000,100,50,60.98,50.60478,-5.136185,2.3476,0.901136,10.375,1.80E-05,1.541,0.982,0.534,0.442,219.775,65,2.75,5.605114314,5.219550156,4.58113996,3.908255682,3.130525334,,9.481655,9.526273,9.610149,10.646055,13.529082,,0.014194,0.016871,0.018124,0.019825,0.022454,,-0.003045,-0.00107,0.000136,0.001377,0.002239,
56,HC2_TP66_10000_100_H R,H,10000,100,50,61.535,50.831145,-7.663992,2.361604,0.890477,10.704,1.79E-05,1.546,0.98,0.534,0.442,219.775,65,2.75,5.976730867,5.485236768,5.190898295,5.111519242,5.220566067,,9.4228,9.292392,9.472838,10.131289,12.076826,,0.01495,0.017468,0.018831,0.019873,0.021351,,-0.002813,-0.00159,-0.000842,0.000198,0.000885,
57,HC2_TP67_10000_200_V R,V,10000,200,100,122.253,101.360252,-4.661881,4.529021,0.903307,20.893,2.03E-05,1.668,1,0.528,0.441,219.775,65,2.75,12.22345817,11.54303193,9.643476464,8.262367219,6.993894836,,18.366422,18.798651,18.925776,20.524004,24.597111,,0.030308,0.033178,0.035111,0.039108,0.042281,,-0.006268,-0.002494,-0.000944,0.001338,0.001789,
58,HC2_TP68_10000_200_H R,H,10000,200,100,122.418,101.040618,-4.208498,4.669111,0.919797,21.377,2.03E-05,1.667,1,0.528,0.441,219.775,65,2.75,12.81788298,11.86156675,10.93022837,10.43548553,10.08107326,,18.230595,18.363486,18.177109,19.000498,21.382967,,0.025361,0.033076,0.036071,0.037971,0.04005,,-0.003879,-0.003178,-0.002317,0.000475,0.001987,
59,HC2_TP69_10000_300_V R,V,10000,300,150,179.837264,150.465656,2.148265,6.577465,0.944292,29.372,2.29E-05,1.728,1.049,0.523,0.44,219.775,65,2.75,20.24707795,19.34643176,16.27317094,14.01033318,11.76674788,,28.841886,29.777852,27.943063,29.252027,33.287972,,0.039936,0.045678,0.047212,0.053195,0.058079,,-0.008876,-0.004225,-0.004353,-0.000692,0.000608,
60,HC2_TP70_10000_300_H R,H,10000,300,150,180.594997,151.629633,3.004505,6.546424,0.943032,28.965,2.29E-05,1.726,1.051,0.523,0.441,219.775,65,2.75,22.85860434,20.35527659,17.05342229,15.04532444,14.6634539,,25.486868,25.301783,25.940336,26.219597,28.615187,,0.037282,0.039191,0.044685,0.048479,0.052098,,-0.00865,-0.003338,-0.003099,-0.000759,0.00034,
61,HC2_TP73_10000_100_V R,V,10000,100,50,61.989,50.456952,-8.114683,2.339892,-0.818601,11.532,1.79E-05,1.549,0.979,0.533,0.442,219.775,65,2.75,7.394885578,7.40883807,7.095494864,6.520211549,6.143408546,,-10.709569,-11.131578,-11.553481,-12.831039,-15.806688,,0.017382,0.01864,0.01926,0.020801,0.023314,,0.001988,-0.001107,-0.001467,-0.001985,-0.002227,
62,HC2_TP74_10000_100_H R,H,10000,100,50,62.368,50.823727,-7.203517,2.337004,-0.829547,11.544,1.79E-05,1.548,0.98,0.533,0.442,219.775,65,2.75,7.298228828,7.219979321,7.000307941,6.911521653,7.008482748,,-10.021232,-10.030544,-10.504196,-11.426492,-13.411527,,0.014546,0.018066,0.018492,0.019682,0.021212,,0.000938,-0.000202,-0.000984,-0.001392,-0.001974,
63,HC2_TP75_10000_50_V ,V,10000,50,7,21.696797,8.139707,-10.613691,1.317525,1.201183,13.557,1.71E-05,1.453,0.987,0.532,0.442,219.775,65,2.75,6.612784233,7.516971482,8.47550762,9.838126229,12.18905492,,8.071415,8.296382,8.342095,8.702968,9.737466,,0.008748,0.009985,0.010047,0.010414,0.011224,,-0.005284,-0.003222,-0.003368,-0.003525,-0.004229,
64,HC2_TP76_10000_50_H ,H,10000,50,7,21.523141,8.102171,-8.303055,1.29425,1.202139,13.421,1.72E-05,1.451,0.988,0.532,0.442,219.775,65,2.75,6.609479231,7.287867245,8.273331423,9.814645481,12.71743703,,7.479074,7.547962,7.957737,8.52665,9.36204,,0.006434,0.009192,0.009412,0.009927,0.010215,,-0.003153,-0.003126,-0.003019,-0.003484,-0.004488,
65,HC2_TP79_10000_100_V ,V,10000,100,15,44.142285,15.933183,-12.615082,2.608749,1.185962,28.209,1.74E-05,1.511,0.98,0.524,0.441,219.775,65,2.75,13.71929668,15.3991602,17.09671184,19.38446477,23.78539886,,15.851696,15.856562,15.799373,16.315502,18.259655,,0.01845,0.020206,0.020396,0.021087,0.022403,,-0.009824,-0.006489,-0.006564,-0.006543,-0.00817,
66,HC2_TP80_10000_100_H ,H,10000,100,15,43.441874,15.978226,-10.263704,2.555298,1.214274,27.464,1.75E-05,1.505,0.981,0.524,0.441,219.775,65,2.75,13.09389239,14.76229601,16.453121,19.02655659,23.67895131,,15.099729,14.755867,15.110728,15.932421,17.036586,,0.010351,0.01871,0.018898,0.01965,0.020055,,-0.005503,-0.006346,-0.006295,-0.006594,-0.007882,
67,HC3_TP83_12000_50_V ,V,12000,50,25,34.629517,25.82737,16.810992,1.092054,0.73465,8.802,1.83E-05,1.465,0.993,0.535,0.442,219.775,65,2.75,3.168623373,3.788341397,,4.405835692,4.605248039,5.009528549,5.071804,5.070158,,5.526342,6.247401,7.517165,0.010839,0.011595,,0.014491,0.014125,0.014628,-0.001734,-0.0001,,0.00091,0.001195,0.001419
68,HC3_TP84_12000_50_H ,H,12000,50,25,34.306519,25.663435,16.378184,1.078799,0.729185,8.643,1.82E-05,1.465,0.992,0.535,0.442,219.775,65,2.75,3.481762869,3.910986074,,4.641548529,5.06950434,5.40179488,4.807881,4.670718,,5.233366,5.946544,7.437218,0.010126,0.011343,,0.014929,0.014503,0.015135,-0.001747,-0.000265,,0.000317,0.000496,0.000473
